record,timestamp,CPU_ALL:User%,CPU_ALL:Sys%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s,NET:eno2-write-KB/s,NET:eno2-read-KB/s,DISKREAD:sda,DISKREAD:sdb,DISKREAD:sdc,DISKREAD:sdd,DISKWRITE:sda,DISKWRITE:sdb,DISKWRITE:sdc,DISKWRITE:sdd
0,1620904523,46.70000000000001,45.099999999999994,2849368.699999997,924368.7999999999,1221105.4999999998,778.8999999999999,862.1,0.0,0.0,12939.000000000002,0.0,0.0,0.0,1329.0000000000002,0.0,0.0,0.0
1,1620904524,35.09999999999998,26.8,2849368.699999997,924356.7999999998,1221106.0999999999,462.0,522.5,0.0,0.0,0.0,0.0,0.0,0.0,1748.7000000000003,0.0,0.0,0.0
2,1620904525,37.39999999999999,28.5,2849368.699999997,924440.4999999998,1221106.6,477.6999999999999,497.90000000000015,0.0,0.0,0.0,0.0,0.0,0.0,1980.4,0.0,0.0,0.0
3,1620904526,33.099999999999994,26.50000000000001,2849368.699999997,924522.2999999998,1221107.6,807.1,742.9,0.0,0.0,8.0,0.0,0.0,0.0,4316.400000000001,0.0,179.7,24.0
4,1620904527,61.300000000000004,33.8,2849368.699999997,924567.1,1221108.0,567.4999999999999,641.3000000000001,0.0,0.0,0.0,0.0,0.0,0.0,3475.2000000000003,0.0,1573.3999999999996,69.2
5,1620904528,76.7,31.700000000000006,2849368.699999997,924712.4999999999,1221108.3,467.3,513.5,0.0,0.0,0.0,0.0,7.9,0.0,3445.000000000001,0.0,697.2,0.0
6,1620904529,85.80000000000003,26.799999999999994,2849368.699999997,924752.2,1221108.5,895.1000000000003,850.6999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1924.5000000000005,0.0,0.0,0.0
7,1620904530,79.6,27.699999999999996,2849368.699999997,924932.4000000001,1221108.8,353.40000000000003,430.80000000000007,0.0,0.0,4.0,0.0,0.0,0.0,910.2999999999997,0.0,0.0,0.0
8,1620904531,91.89999999999998,31.900000000000006,2849368.699999997,924907.9,1221109.3,407.7,396.69999999999993,0.0,0.0,4.0,0.0,0.0,0.0,1781.0,0.0,187.8,0.0
9,1620904532,78.00000000000006,32.999999999999986,2849368.699999997,925004.7,1221109.5,825.8999999999999,848.6000000000001,0.0,0.0,3.7,0.0,0.0,0.0,913.9000000000001,0.0,792.7,25.7
