Total tasks: 3234
name,begin,end,time_seconds
Experiment,1,1971216,1971.22
ClusterLRModels;Cluster persist and count after select + drop null + filter + column rename;gisJoin=G4800790;clusterId=3,853789,957790,104.00
ClusterLRModels;Cluster persist and count after select + drop null + filter + column rename;gisJoin=G2001090;clusterId=7,853789,958206,104.42
ClusterLRModels;Cluster persist and count after select + drop null + filter + column rename;gisJoin=G1800570;clusterId=0,853789,958174,104.39
ClusterLRModels;Cluster persist and count after select + drop null + filter + column rename;gisJoin=G4100650;clusterId=8,853789,958169,104.38
ClusterLRModels;Cluster persist and count after select + drop null + filter + column rename;gisJoin=G4900010;clusterId=2,853789,958379,104.59
ClusterLRModels;Cluster persist and count after select + drop null + filter + column rename;gisJoin=G3700210;clusterId=9,853789,963043,109.25
ClusterLRModels;run();gisJoin=G4800490;clusterId=10,853790,1458090,604.30
ClusterLRModels;run();gisJoin=G4802010;clusterId=11,853790,1540587,686.80
ClusterLRModels;run();gisJoin=G1900530;clusterId=12,853790,1646141,792.35
ClusterLRModels;run();gisJoin=G2902050;clusterId=13,853791,1860450,1006.66
ClusterLRModels;Cluster persist and count after select + drop null + filter + column rename;gisJoin=G4800490;clusterId=10,853791,958167,104.38
ClusterLRModels;run();gisJoin=G0600010;clusterId=14,853791,1208156,354.37
ClusterLRModels;run();gisJoin=G1300890;clusterId=15,853791,1852940,999.15
ClusterLRModels;run();gisJoin=G4803410;clusterId=16,853791,1380897,527.11
ClusterLRModels;run();gisJoin=G3600770;clusterId=17,853791,1611670,757.88
ClusterLRModels;Cluster persist and count after select + drop null + filter + column rename;gisJoin=G4802010;clusterId=11,853791,958174,104.38
ClusterLRModels;Cluster persist and count after select + drop null + filter + column rename;gisJoin=G1900530;clusterId=12,853791,964342,110.55
ClusterLRModels;run();gisJoin=G1200230;clusterId=18,853791,1468386,614.60
ClusterLRModels;Cluster persist and count after select + drop null + filter + column rename;gisJoin=G2902050;clusterId=13,853792,958188,104.40
ClusterLRModels;Cluster persist and count after select + drop null + filter + column rename;gisJoin=G0600010;clusterId=14,853792,958187,104.40
ClusterLRModels;Cluster persist and count after select + drop null + filter + column rename;gisJoin=G1300890;clusterId=15,853792,957789,104.00
ClusterLRModels;Cluster persist and count after select + drop null + filter + column rename;gisJoin=G4803410;clusterId=16,853792,957729,103.94
ClusterLRModels;Cluster persist and count after select + drop null + filter + column rename;gisJoin=G3600770;clusterId=17,853792,958183,104.39
ClusterLRModels;Cluster persist and count after select + drop null + filter + column rename;gisJoin=G1200230;clusterId=18,853792,958173,104.38
ClusterLRModels;run();gisJoin=G2102090;clusterId=20,853796,1747547,893.75
ClusterLRModels;run();gisJoin=G1000030;clusterId=21,853797,1599286,745.49
ClusterLRModels;Cluster persist and count after select + drop null + filter + column rename;gisJoin=G2102090;clusterId=20,853797,958382,104.59
ClusterLRModels;run();gisJoin=G0500090;clusterId=22,853797,1637881,784.08
ClusterLRModels;run();gisJoin=G4100070;clusterId=19,853798,1267975,414.18
ClusterLRModels;Cluster persist and count after select + drop null + filter + column rename;gisJoin=G0500090;clusterId=22,853799,958180,104.38
ClusterLRModels;Cluster persist and count after select + drop null + filter + column rename;gisJoin=G1000030;clusterId=21,853799,965496,111.70
ClusterLRModels;Cluster persist and count after select + drop null + filter + column rename;gisJoin=G4100070;clusterId=19,853799,958208,104.41
ClusterLRModels;run();gisJoin=G0601070;clusterId=24,853802,1000705,146.90
ClusterLRModels;run();gisJoin=G5100210;clusterId=25,853802,1378741,524.94
