gis_join,total_iterations,is_center
G1200110,1,false
G0800750,1,false
G5000150,1,false
G2400330,1,false
G0600290,1,false
G3000770,1,false
G3500290,1,false
G5000210,1,false
G2600290,1,false
G1700550,1,false
G3500370,1,false
G5600090,1,false
G3601010,1,false
G3101130,1,false
G4804270,1,false
G4701570,1,false
G4803010,1,false
G4802050,1,false
G0801010,1,false
G1600430,1,false
G4801090,1,false
G4201130,1,false
G3600910,1,false
G1700270,1,false
G4804650,1,false
G4701190,1,false
G2000750,1,false
G4800070,1,false
G3000570,1,false
G3600930,1,false
G5000250,1,false
G1701810,1,false
G3500510,1,false
G0800170,1,false
G4803830,1,false
G4700850,1,false
G4802490,1,false
G2000710,1,false
G3300030,1,false
G2600010,1,false
G1800250,1,false
G4900330,1,false
G3500350,1,false
G4701050,1,false
G0500450,1,false
G4801690,1,false
G4800470,1,false
G0800990,1,false
G3800750,1,false
G4200230,1,false
G2601410,1,false
G1701890,1,false
G0500210,1,false
G1600070,1,false
G0800890,1,false
G4804150,1,false
G1200570,1,false
G3500530,1,false
G5000270,1,false
G2300190,1,false
G2900510,1,false
G0800610,1,false
G1600210,1,false
G2700110,1,false
G4001050,1,false
G1200170,1,false
G3000010,1,false
G4800810,1,false
G3701150,1,false
G3500150,1,false
G0900150,1,false
G2001290,1,false
G4201030,1,false
G1200390,1,false
G5100610,1,false
G1700870,1,false
G2600170,1,false
G4804610,1,false
G4900290,1,false
G1200550,1,false
G4801790,1,false
G3500610,1,false
G2601350,1,false
G4001310,1,false
G4701030,1,false
G2200310,1,false
G2901830,1,false
G3601150,1,false
G4801150,1,false
G1600590,1,false
G4803910,1,false
G2601330,1,false
G4802430,1,false
G2101430,1,false
G2100550,1,false
G1302930,1,false
G3600830,1,false
G0600710,1,false
G4802150,1,false
G1600230,1,false
G4200350,1,false
G3500270,1,false
G4000970,1,false
G2100270,1,false
G2601090,1,false
G4804090,1,false
G2200130,1,false
G4803170,1,false
G3000230,1,false
G5500410,1,false
G4701810,1,false
G3500170,1,false
G2100870,1,false
G2601450,1,false
G1200850,1,false
G0400270,1,false
G0101130,1,false
G1600250,1,false
G4701890,1,false
G2300170,1,false
G1700650,1,false
G4601130,1,false
G4802290,1,false
G2600330,1,false
G4900270,1,false
G4803890,1,false
G4801310,1,false
G2200610,1,false
G1600710,1,false
G0800390,1,false
G2902010,1,false
G0400210,1,false
G5400570,1,false
G2101070,1,false
G4700750,1,false
G3300130,1,false
G0400230,1,false
G1200430,1,false
G3700930,1,false
G3200070,1,false
G4804430,1,false
G2900350,1,false
G4200790,1,false
G2102130,1,false
G2300090,1,false
G1201150,1,false
G3700290,1,false
G0400090,1,false
G0400120,1,false
G1600650,1,false
G2900230,1,false
G3800230,1,false
G0101230,1,false
G2600310,1,false
G3600150,1,false
G1200510,1,false
G2100470,1,false
G4801350,1,false
G4800430,1,false
G4700690,1,false
G2600990,1,false
G4200090,1,false
G4900050,1,false
G1200970,1,false
G4500810,1,false
G1701910,1,false
G4803350,1,false
G5300070,1,false
G2600110,1,false
G2900170,1,false
G1600830,1,false
G4600530,1,false
G3600010,1,false
G1200870,1,false
G2300310,1,false
G3000310,1,false
G1700250,1,false
G2201110,1,false
G0100250,1,false
G5101090,1,false
G2601110,1,false
G2600390,1,false
G1200150,1,false
G2001250,1,false
G1600110,1,false
G4000830,1,false
G2800190,1,false
G5000010,1,false
G4701090,1,false
G2601070,1,false
G4802470,1,false
G2100310,1,false
G0600910,1,false
G4000350,1,false
G2600970,1,false
G4500750,1,false
G3600350,1,false
G1700810,1,false
G1201190,1,false
G0800770,1,false
G2801430,1,false
G4701130,1,false
G3001110,1,false
G4700910,1,false
G0800870,1,false
G0900050,1,false
G4601070,1,false
G1600330,1,false
G4600370,1,false
G3701550,1,false
G4802410,1,false
G2300290,1,false
G4201310,1,false
G3200310,1,false
G4000790,1,false
G1700470,1,false
G4700790,1,false
G1201010,1,false
G2600570,1,false
G1600150,1,false
G4200150,1,false
G0101050,1,false
G5106300,1,false
G1701010,1,false
G3700410,1,false
G1200990,1,false
G3000970,1,false
G5400550,1,false
G4200570,1,false
G3000150,1,false
G3101050,1,false
G2700890,1,false
G1300810,1,false
G4600270,1,false
G3000490,1,false
G4200250,1,false
G3600570,1,false
G1701530,1,false
G0100230,1,false
G1600290,1,false
G0501130,1,false
G2100850,1,false
G1200860,1,false
G0500550,1,false
G2600350,1,false
G5500830,1,false
G3000430,1,false
G4500710,1,false
G5100250,1,false
G3700090,1,false
G5600330,1,false
G4200930,1,false
G2000210,1,false
G5101790,1,false
G3000510,1,false
G0400050,1,false
G1900590,1,false
G2700690,1,false
G1301790,1,false
G1600630,1,false
G4802730,1,false
G0100490,1,false
G2901330,1,false
G5000170,1,false
G2600410,1,false
G1600050,1,false
G4500310,1,false
G2100090,1,false
G0500930,1,false
G1200950,1,false
G5100360,1,false
G3701210,1,false
G3600790,1,false
G3000090,1,false
G3600390,1,false
G3101170,1,false
G3500470,1,false
G3800590,1,false
G4600150,1,false
