VM,Paging and Virtual Memory,nr_dirty,nr_writeback,nr_unstable,nr_page_table_pages,nr_mapped,nr_slab_reclaimable,pgpgin,pgpgout,pswpin,pswpout,pgfree,pgactivate,pgdeactivate,pgfault,pgmajfault,pginodesteal,slabs_scanned,kswapd_steal,kswapd_inodesteal,pageoutrun,allocstall,pgrotated,pgalloc_high,pgalloc_normal,pgalloc_dma,pgrefill_high,pgrefill_normal,pgrefill_dma,pgsteal_high,pgsteal_normal,pgsteal_dma,pgscan_kswapd_high,pgscan_kswapd_normal,pgscan_kswapd_dma,pgscan_direct_high,pgscan_direct_normal,pgscan_direct_dma
VM,T0082,1,0,100922,21689,2899511,169151,0,192,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0083,0,0,100922,21689,2899513,169151,0,288,0,0,15029,0,0,8150,0,0,0,0,0,0,0,0,0,15018,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0084,0,0,100922,21689,2899515,169151,0,184,0,0,6735,0,0,3357,0,0,0,0,0,0,0,0,0,6754,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0085,0,0,100922,21717,2899516,169151,0,192,0,0,8922,0,0,7730,0,0,0,0,0,0,0,0,0,12061,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0086,0,0,100922,21689,2899519,169151,0,4,0,0,10036,0,0,1680,0,0,0,0,0,0,0,0,0,6888,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0087,0,0,100922,21696,2899521,169151,0,60,0,0,224,15,0,3989,0,0,0,0,0,0,0,0,0,4107,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0088,0,0,100922,21700,2899521,169151,0,24,0,0,1853,53,0,2391,0,0,0,0,0,0,0,0,0,2855,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0089,0,0,100922,21700,2899524,169151,0,232,0,0,136,5,0,91,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0090,0,0,100922,21700,2899525,169151,0,20,0,0,17119,0,0,9370,0,0,0,0,0,0,0,0,0,17134,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0091,0,0,100922,21700,2899528,169151,0,260,0,0,4010,0,0,624,0,0,0,0,0,0,0,0,0,4011,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0092,0,0,100922,21673,2899530,169151,0,228,0,0,16959,0,0,8072,0,0,0,0,0,0,0,0,0,16978,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0093,0,0,100922,21700,2899531,169151,0,268,0,0,502,1,0,27,0,0,0,0,0,0,0,0,0,501,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0094,5,0,100922,21700,2899533,169151,0,180,0,0,7257,0,0,3344,0,0,0,0,0,0,0,0,0,7255,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0095,0,0,100922,21798,2899532,169151,0,152,0,0,15833,0,0,8753,0,0,0,0,0,0,0,0,0,15859,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0096,0,0,100922,21700,2899535,169151,0,4,0,0,4438,0,0,627,0,0,0,0,0,0,0,0,0,4450,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0097,0,0,100922,21695,2899536,169151,0,92,0,0,446,0,0,5,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0098,0,0,100922,21695,2899536,169151,0,168,0,0,468,0,0,4,0,0,0,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0099,0,0,100922,21695,2899538,169151,0,244,0,0,162,0,0,90,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0100,6,0,100922,21695,2899541,169151,0,64,0,0,17085,0,0,9357,0,0,0,0,0,0,0,0,0,17100,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0101,0,0,100922,21695,2899543,169151,0,200,0,0,4136,0,0,667,0,0,0,0,0,0,0,0,0,4136,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0102,17,0,100922,21704,2899546,169151,0,192,0,0,15993,0,0,8150,0,0,0,0,0,0,0,0,0,16002,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0103,0,0,100922,21689,2899546,169151,0,324,0,0,7132,0,0,3352,0,0,0,0,0,0,0,0,0,7104,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0104,8,0,100922,21695,2899548,169151,0,212,0,0,48,0,0,1,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0105,0,0,100922,21781,2899548,169151,0,88,0,0,15716,0,0,8911,0,0,0,0,0,0,0,0,0,15743,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0106,0,0,100922,21695,2899551,169151,0,24,0,0,3983,0,0,668,0,0,0,0,0,0,0,0,0,3994,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0107,0,0,100922,21695,2899552,169151,0,56,0,0,63,0,0,15,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0108,12,0,100922,21695,2899552,169151,0,72,0,0,503,0,0,3,0,0,0,0,0,0,0,0,0,493,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0109,0,0,100922,21698,2899553,169151,0,180,0,0,106,0,0,1400,0,0,0,0,0,0,0,0,0,2405,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0110,7,0,100922,21709,2899554,169151,0,188,0,0,21594,0,0,8716,0,0,0,0,0,0,0,0,0,19314,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0111,0,0,100922,21695,2899556,169151,0,168,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0112,32,0,100922,21692,2899561,169151,0,232,0,0,15521,0,0,8155,0,0,0,0,0,0,0,0,0,15522,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0113,0,0,100922,21707,2899561,169151,0,240,0,0,7801,0,0,3335,0,0,0,0,0,0,0,0,0,7795,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0114,14,0,100922,21695,2899563,169151,0,176,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0115,0,0,100922,21673,2899566,169151,0,108,0,0,19886,0,0,9617,0,0,0,0,0,0,0,0,0,19907,0,0,0,0,0,0,0,0,0,0,0,0,0
