VM,Paging and Virtual Memory,nr_dirty,nr_writeback,nr_unstable,nr_page_table_pages,nr_mapped,nr_slab_reclaimable,pgpgin,pgpgout,pswpin,pswpout,pgfree,pgactivate,pgdeactivate,pgfault,pgmajfault,pginodesteal,slabs_scanned,kswapd_steal,kswapd_inodesteal,pageoutrun,allocstall,pgrotated,pgalloc_high,pgalloc_normal,pgalloc_dma,pgrefill_high,pgrefill_normal,pgrefill_dma,pgsteal_high,pgsteal_normal,pgsteal_dma,pgscan_kswapd_high,pgscan_kswapd_normal,pgscan_kswapd_dma,pgscan_direct_high,pgscan_direct_normal,pgscan_direct_dma
VM,T0033,0,0,100922,21587,2893040,168555,0,4,0,0,88,0,0,7,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0034,0,0,100922,21629,2893041,168555,0,232,0,0,15054,0,0,8129,0,0,0,0,0,0,0,0,0,15067,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0035,2,0,100922,21588,2893044,168576,0,128,0,0,2325,2,0,1346,0,0,0,0,0,0,0,0,0,2442,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0036,0,0,100922,21588,2893047,168576,0,320,0,0,4315,0,0,684,0,0,0,0,0,0,0,0,0,4322,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0037,13,0,100922,21660,2893049,168576,0,204,0,0,21448,1,0,11121,0,0,0,0,0,0,0,0,0,21459,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0038,0,0,100922,21588,2893052,168576,0,224,0,0,59,3,0,55,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0039,0,0,100922,21591,2893052,168576,0,0,0,0,70,0,0,1061,0,0,0,0,0,0,0,0,0,2090,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0040,0,0,100922,21588,2893054,168576,0,88,0,0,6057,0,0,734,0,0,0,0,0,0,0,0,0,4056,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0041,1,0,100922,21614,2893056,168576,0,56,0,0,5956,0,0,3692,0,0,0,0,0,0,0,0,0,7640,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0042,0,0,100922,21588,2893057,168576,0,92,0,0,9604,0,0,4567,0,0,0,0,0,0,0,0,0,7925,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0043,5,0,100922,21588,2893057,168576,0,68,0,0,153,0,0,93,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0044,0,0,100922,21566,2893057,168576,0,160,0,0,18059,0,0,9272,0,0,0,0,0,0,0,0,0,18065,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0045,9,0,100922,21588,2893061,168576,0,144,0,0,101,0,0,414,0,0,0,0,0,0,0,0,0,2297,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0046,0,0,100922,21588,2893064,168576,0,272,0,0,4271,0,0,338,0,0,0,0,0,0,0,0,0,2125,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0047,13,0,100922,21600,2893068,168576,0,172,0,0,18988,0,0,10976,0,0,0,0,0,0,0,0,0,19007,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0048,0,0,100922,21588,2893068,168576,0,268,0,0,142,0,0,8,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0049,0,0,100922,21587,2893069,168576,0,0,0,0,2642,0,0,1126,0,0,0,0,0,0,0,0,0,2651,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0050,0,0,100922,21556,2893070,168576,0,84,0,0,4038,0,0,666,0,0,0,0,0,0,0,0,0,4069,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0051,60,0,100922,21569,2893073,168576,0,712,0,0,16014,0,0,8264,0,0,0,0,0,0,0,0,0,16006,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0052,0,0,100922,21588,2893075,168576,0,1676,0,0,103,0,0,1,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0053,0,0,100922,21588,2893077,168576,0,28,0,0,147,0,0,91,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0054,0,0,100922,21581,2893078,168576,0,196,0,0,16845,0,0,9265,0,0,0,0,0,0,0,0,0,16843,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0055,4,0,100922,21587,2893079,168576,0,104,0,0,4036,0,0,669,0,0,0,0,0,0,0,0,0,4045,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0056,0,0,100922,21588,2893083,168577,0,372,0,0,79,0,0,1,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0057,20,0,100922,21561,2893086,168577,0,240,0,0,19467,0,0,10982,0,0,0,0,0,0,0,0,0,19474,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0058,0,0,100922,21588,2893088,168577,0,188,0,0,64,0,0,4,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0059,0,0,100922,21584,2893088,168577,0,0,0,0,2108,0,0,1114,0,0,0,0,0,0,0,0,0,2123,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0060,0,0,100922,21589,2893090,168577,0,112,0,0,3221,0,0,922,0,0,0,0,0,0,0,0,0,3212,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0061,0,0,100922,21614,2893091,168577,0,16,0,0,17056,0,0,8249,0,0,0,0,0,0,0,0,0,17080,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0062,7,0,100922,21588,2893092,168577,0,148,0,0,94,0,0,9,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0063,0,0,100922,21588,2893095,168577,0,52,0,0,129,0,0,93,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0064,0,0,100922,21727,2893098,168577,0,200,0,0,18092,0,0,9297,0,0,0,0,0,0,0,0,0,18103,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0065,5,0,100922,21563,2893097,168577,0,72,0,0,4013,0,0,667,0,0,0,0,0,0,0,0,0,4022,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0066,0,0,100922,21593,2893103,168577,0,344,0,0,6775,0,0,4410,0,0,0,0,0,0,0,0,0,9298,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0067,0,0,100922,21588,2893104,168577,0,224,0,0,15035,0,0,6724,0,0,0,0,0,0,0,0,0,12517,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0068,0,0,100922,21588,2893105,168577,0,160,0,0,46,0,0,4,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0069,0,0,100922,21588,2893106,168577,0,0,0,0,2648,0,0,1108,0,0,0,0,0,0,0,0,0,2655,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0070,0,0,100922,21588,2893107,168577,0,104,0,0,4006,0,0,669,0,0,0,0,0,0,0,0,0,4010,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0071,0,0,100922,21588,2893109,168577,0,16,0,0,15648,0,0,8528,0,0,0,0,0,0,0,0,0,15683,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0072,0,0,100922,21588,2893111,168578,0,116,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0073,0,0,100922,21589,2893114,168578,0,160,0,0,609,0,0,1143,0,0,0,0,0,0,0,0,0,2693,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0074,0,0,100922,21499,2893114,168578,0,248,0,0,17648,0,0,8227,0,0,0,0,0,0,0,0,0,15045,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0075,15,0,100922,21507,2893118,168578,0,180,0,0,4129,73,0,5171,0,0,0,0,0,0,0,0,0,8634,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0076,0,0,100922,21469,2893121,168578,0,288,0,0,20561,0,0,10992,0,0,0,0,0,0,0,0,0,20539,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0077,13,0,100922,21506,2893122,168578,0,208,0,0,202,0,0,28,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0078,0,0,100922,21506,2893124,168578,0,104,0,0,359,1,0,0,0,0,0,0,0,0,0,0,0,359,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0079,0,0,100922,21506,2893124,168578,0,4,0,0,2672,0,0,1122,0,0,0,0,0,0,0,0,0,2665,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0080,0,0,100922,21506,2893124,168578,0,140,0,0,3553,0,0,678,0,0,0,0,0,0,0,0,0,3550,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0081,0,0,100922,21506,2893128,168578,0,16,0,0,15061,0,0,8245,0,0,0,0,0,0,0,0,0,15103,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0082,0,0,100922,21506,2893128,168578,0,76,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0083,0,0,100922,21499,2893130,168579,0,160,0,0,15498,0,0,8129,0,0,0,0,0,0,0,0,0,15505,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0084,0,0,100922,21506,2893130,168579,0,192,0,0,2765,0,0,1207,0,0,0,0,0,0,0,0,0,2749,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0085,0,0,100922,21506,2893135,168579,0,232,0,0,5434,0,0,2200,0,0,0,0,0,0,0,0,0,5480,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0086,0,0,100922,21440,2893137,168579,0,312,0,0,22238,1,0,11099,0,0,0,0,0,0,0,0,0,22244,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0087,0,0,100922,21506,2893138,168579,0,336,0,0,62,0,0,5,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0088,0,0,100922,21500,2893140,168579,0,124,0,0,874,0,0,4,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0089,0,0,100922,21500,2893140,168579,0,20,0,0,2126,0,0,1110,0,0,0,0,0,0,0,0,0,2123,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0090,13,0,100922,21500,2893140,168579,0,120,0,0,4002,0,0,675,0,0,0,0,0,0,0,0,0,4015,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0091,0,0,100922,21500,2893143,168579,0,60,0,0,16023,0,0,8245,0,0,0,0,0,0,0,0,0,16032,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0092,10,0,100922,21500,2893145,168579,0,120,0,0,74,0,0,1,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0093,0,0,100922,21502,2893145,168579,0,124,0,0,15604,0,0,8139,0,0,0,0,0,0,0,0,0,15625,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0094,15,0,100922,21500,2893148,168579,0,152,0,0,2964,0,0,1101,0,0,0,0,0,0,0,0,0,2929,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0095,0,0,100922,21500,2893151,168579,0,284,0,0,4152,1,0,762,0,0,0,0,0,0,0,0,0,4143,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0096,16,0,100922,21370,2893152,168579,0,292,0,0,20890,1,0,11134,0,0,0,0,0,0,0,0,0,20894,0,0,0,0,0,0,0,0,0,0,0,0,0
VM,T0097,0,0,100922,21500,2893156,168579,0,236,0,0,57,0,0,6,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0
